,0,1,class_label,target_label
98,0.05,0.95,1,IN
99,1.0,0.0,0,IN
100,0.16,0.84,1,IN
101,1.0,0.0,0,IN
102,0.99,0.01,0,IN
103,0.13,0.87,1,IN
104,1.0,0.0,0,IN
105,1.0,0.0,0,IN
106,0.05,0.95,1,IN
107,0.36,0.64,1,IN
108,0.07,0.93,1,IN
109,0.1,0.9,1,IN
110,0.94,0.06,0,IN
111,0.17,0.83,1,IN
112,0.98,0.02,0,IN
113,0.03,0.97,1,IN
114,0.99,0.01,0,IN
115,0.98,0.02,0,IN
116,1.0,0.0,0,IN
117,0.99,0.01,0,IN
118,0.98,0.02,0,IN
119,1.0,0.0,0,IN
120,1.0,0.0,0,IN
121,1.0,0.0,0,IN
122,0.76,0.24,0,IN
123,0.85,0.15,0,IN
124,1.0,0.0,0,IN
125,1.0,0.0,0,IN
126,0.07,0.93,1,IN
127,1.0,0.0,0,IN
128,1.0,0.0,0,IN
129,1.0,0.0,0,IN
130,1.0,0.0,0,IN
131,1.0,0.0,0,IN
132,1.0,0.0,0,IN
133,0.99,0.01,0,IN
134,1.0,0.0,0,IN
135,0.89,0.11,0,IN
136,0.79,0.21,0,IN
137,0.9,0.1,0,IN
138,0.99,0.01,0,IN
139,0.77,0.23,0,IN
140,0.91,0.09,0,IN
141,0.81,0.19,0,IN
142,0.89,0.11,0,IN
143,0.85,0.15,0,IN
144,1.0,0.0,0,IN
145,0.99,0.01,0,IN
146,0.96,0.04,0,IN
147,0.96,0.04,0,IN
148,0.29,0.71,1,IN
149,0.01,0.99,1,IN
150,0.99,0.01,0,IN
151,0.97,0.03,0,IN
152,1.0,0.0,0,IN
153,0.0,1.0,1,IN
154,0.1,0.9,1,IN
155,0.99,0.01,0,IN
156,0.13,0.87,1,IN
157,1.0,0.0,0,IN
158,1.0,0.0,0,IN
159,1.0,0.0,0,IN
160,0.89,0.11,0,IN
161,1.0,0.0,0,IN
162,0.26,0.74,1,IN
163,0.99,0.01,0,IN
164,0.88,0.12,0,IN
165,0.98,0.02,0,IN
166,0.99,0.01,0,IN
167,0.96,0.04,0,IN
168,1.0,0.0,0,IN
169,1.0,0.0,0,IN
170,0.95,0.05,0,IN
171,0.29,0.71,1,IN
172,1.0,0.0,0,IN
173,0.87,0.13,0,IN
174,1.0,0.0,0,IN
175,1.0,0.0,0,IN
176,0.01,0.99,1,IN
177,0.01,0.99,1,IN
178,0.97,0.03,0,IN
179,0.97,0.03,0,IN
180,0.26,0.74,1,IN
181,0.97,0.03,0,IN
182,0.99,0.01,0,IN
183,0.99,0.01,0,IN
184,0.07,0.93,1,IN
185,1.0,0.0,0,IN
186,1.0,0.0,0,IN
187,0.97,0.03,0,IN
188,1.0,0.0,0,IN
189,0.99,0.01,0,IN
190,0.94,0.06,0,IN
191,1.0,0.0,0,IN
192,1.0,0.0,0,IN
193,0.0,1.0,1,IN
194,0.97,0.03,0,IN
195,1.0,0.0,0,IN
196,0.03,0.97,1,IN
197,1.0,0.0,0,IN
198,0.98,0.02,0,IN
199,0.99,0.01,0,IN
200,0.97,0.03,0,IN
201,0.93,0.07,0,IN
202,1.0,0.0,0,IN
203,1.0,0.0,0,IN
204,0.98,0.02,0,IN
205,0.99,0.01,0,IN
206,0.25,0.75,1,IN
207,0.77,0.23,0,IN
208,0.91,0.09,0,IN
209,1.0,0.0,0,IN
210,0.96,0.04,0,IN
211,1.0,0.0,0,IN
212,0.99,0.01,0,IN
213,0.3,0.7,1,IN
214,1.0,0.0,0,IN
215,1.0,0.0,0,IN
216,0.93,0.07,0,IN
217,1.0,0.0,0,IN
218,1.0,0.0,0,IN
219,0.99,0.01,0,IN
220,1.0,0.0,0,IN
221,1.0,0.0,0,IN
222,0.25,0.75,1,IN
223,0.99,0.01,0,IN
224,0.99,0.01,0,IN
225,0.98,0.02,0,IN
226,1.0,0.0,0,IN
227,0.86,0.14,0,IN
228,1.0,0.0,0,IN
229,1.0,0.0,0,IN
230,0.67,0.33,0,IN
231,0.01,0.99,1,IN
232,0.99,0.01,0,IN
233,0.8,0.2,0,IN
234,0.98,0.02,0,IN
235,0.99,0.01,0,IN
236,1.0,0.0,0,IN
237,0.98,0.02,0,IN
238,0.32,0.68,1,IN
239,0.17,0.83,1,IN
240,0.78,0.22,0,IN
241,1.0,0.0,0,IN
242,1.0,0.0,0,IN
243,0.75,0.25,0,IN
244,1.0,0.0,0,IN
245,0.1,0.9,1,IN
246,0.99,0.01,0,IN
247,0.91,0.09,0,IN
248,0.99,0.01,0,IN
249,0.11,0.89,1,IN
250,0.99,0.01,0,IN
251,1.0,0.0,0,IN
252,0.0,1.0,1,IN
253,1.0,0.0,0,IN
254,1.0,0.0,0,IN
255,0.75,0.25,0,IN
256,0.01,0.99,1,IN
257,1.0,0.0,0,IN
258,0.97,0.03,0,IN
259,0.87,0.13,0,IN
260,1.0,0.0,0,IN
261,1.0,0.0,0,IN
262,0.11,0.89,1,IN
263,0.99,0.01,0,IN
264,0.9,0.1,0,IN
265,0.97,0.03,0,IN
266,1.0,0.0,0,IN
267,0.99,0.01,0,IN
268,1.0,0.0,0,IN
269,0.29,0.71,1,IN
270,0.97,0.03,0,IN
271,1.0,0.0,0,IN
272,0.12,0.88,1,IN
273,0.95,0.05,0,IN
274,0.99,0.01,0,IN
275,0.99,0.01,0,IN
276,0.2,0.8,1,IN
277,0.16,0.84,1,IN
278,0.96,0.04,0,IN
279,1.0,0.0,0,IN
280,0.05,0.95,1,IN
281,0.98,0.02,0,IN
282,0.99,0.01,0,IN
283,1.0,0.0,0,IN
284,0.94,0.06,0,IN
285,0.94,0.06,0,IN
286,0.99,0.01,0,IN
287,0.13,0.87,1,IN
288,1.0,0.0,0,IN
289,0.8,0.2,0,IN
290,0.99,0.01,0,IN
291,0.88,0.12,0,IN
292,0.07,0.93,1,IN
293,0.93,0.07,0,IN
294,0.91,0.09,0,IN
295,0.29,0.71,1,IN
296,0.94,0.06,0,IN
297,0.98,0.02,0,IN
298,0.83,0.17,0,IN
299,0.98,0.02,0,IN
300,0.03,0.97,1,IN
301,1.0,0.0,0,IN
302,0.96,0.04,0,IN
303,0.99,0.01,0,IN
304,0.09,0.91,1,IN
305,0.82,0.18,0,IN
306,0.19,0.81,1,IN
307,0.93,0.07,0,IN
308,0.99,0.01,0,IN
309,0.19,0.81,1,IN
310,0.95,0.05,0,IN
311,0.99,0.01,0,IN
312,0.83,0.17,0,IN
313,0.99,0.01,0,IN
314,0.92,0.08,0,IN
315,0.9,0.1,0,IN
316,0.13,0.87,1,IN
317,0.16,0.84,1,IN
318,1.0,0.0,0,IN
319,1.0,0.0,0,IN
320,0.04,0.96,1,IN
321,0.03,0.97,1,IN
322,0.01,0.99,1,IN
323,1.0,0.0,0,IN
324,0.93,0.07,0,IN
325,0.99,0.01,0,IN
326,0.97,0.03,0,IN
327,0.92,0.08,0,IN
328,1.0,0.0,0,IN
329,0.21,0.79,1,IN
330,0.98,0.02,0,IN
331,0.95,0.05,0,IN
332,0.98,0.02,0,IN
333,0.2,0.8,1,IN
334,0.91,0.09,0,IN
335,0.99,0.01,0,IN
336,0.97,0.03,0,IN
337,0.74,0.26,0,IN
338,0.99,0.01,0,IN
339,0.22,0.78,1,IN
340,0.94,0.06,0,IN
341,0.96,0.04,0,IN
342,0.01,0.99,1,IN
343,1.0,0.0,0,IN
344,0.26,0.74,1,IN
345,0.14,0.86,1,IN
346,0.11,0.89,1,IN
347,0.27,0.73,1,IN
348,1.0,0.0,0,IN
349,0.02,0.98,1,IN
350,0.93,0.07,0,IN
351,0.99,0.01,0,IN
352,1.0,0.0,0,IN
353,1.0,0.0,0,IN
354,0.08,0.92,1,IN
355,0.93,0.07,0,IN
356,1.0,0.0,0,IN
357,0.04,0.96,1,IN
358,0.17,0.83,1,IN
359,0.98,0.02,0,IN
360,1.0,0.0,0,IN
361,0.9,0.1,0,IN
362,0.1,0.9,1,IN
363,0.94,0.06,0,IN
364,0.94,0.06,0,IN
365,0.99,0.01,0,IN
366,0.98,0.02,0,IN
367,0.96,0.04,0,IN
368,0.99,0.01,0,IN
369,1.0,0.0,0,IN
370,0.0,1.0,1,IN
371,1.0,0.0,0,IN
372,0.0,1.0,1,IN
373,0.99,0.01,0,IN
374,0.12,0.88,1,IN
375,0.98,0.02,0,IN
376,0.98,0.02,0,IN
377,0.75,0.25,0,IN
378,0.8,0.2,0,IN
379,0.25,0.75,1,IN
380,1.0,0.0,0,IN
381,0.15,0.85,1,IN
382,1.0,0.0,0,IN
383,1.0,0.0,0,IN
384,1.0,0.0,0,IN
385,1.0,0.0,0,IN
386,0.98,0.02,0,IN
387,1.0,0.0,0,IN
388,1.0,0.0,0,IN
389,0.01,0.99,1,IN
390,0.99,0.01,0,IN
391,0.04,0.96,1,IN
392,0.98,0.02,0,IN
393,1.0,0.0,0,IN
394,1.0,0.0,0,IN
395,0.03,0.97,1,IN
396,0.95,0.05,0,IN
397,0.99,0.01,0,IN
398,1.0,0.0,0,IN
399,0.04,0.96,1,IN
400,0.72,0.28,0,IN
401,1.0,0.0,0,IN
402,0.13,0.87,1,IN
403,0.06,0.94,1,IN
404,1.0,0.0,0,IN
405,1.0,0.0,0,IN
406,0.7,0.3,0,IN
407,0.06,0.94,1,IN
408,0.08,0.92,1,IN
409,0.09,0.91,1,IN
410,0.95,0.05,0,IN
411,0.14,0.86,1,IN
412,0.0,1.0,1,IN
413,0.88,0.12,0,IN
414,0.22,0.78,1,IN
415,0.0,1.0,1,IN
416,1.0,0.0,0,IN
417,1.0,0.0,0,IN
418,0.97,0.03,0,IN
419,0.11,0.89,1,IN
420,0.03,0.97,1,IN
421,0.96,0.04,0,IN
422,1.0,0.0,0,IN
423,0.15,0.85,1,IN
424,1.0,0.0,0,IN
425,0.09,0.91,1,IN
426,1.0,0.0,0,IN
427,1.0,0.0,0,IN
428,0.95,0.05,0,IN
429,1.0,0.0,0,IN
430,0.05,0.95,1,IN
431,1.0,0.0,0,IN
432,0.16,0.84,1,IN
433,0.14,0.86,1,IN
434,0.98,0.02,0,IN
435,0.04,0.96,1,IN
436,0.98,0.02,0,IN
437,0.08,0.92,1,IN
438,0.01,0.99,1,IN
439,0.98,0.02,0,IN
440,0.94,0.06,0,IN
441,0.99,0.01,0,IN
442,0.98,0.02,0,IN
443,0.99,0.01,0,IN
444,0.99,0.01,0,IN
445,0.11,0.89,1,IN
446,0.98,0.02,0,IN
447,0.99,0.01,0,IN
448,1.0,0.0,0,IN
449,1.0,0.0,0,IN
450,1.0,0.0,0,IN
451,1.0,0.0,0,IN
452,0.16,0.84,1,IN
453,0.89,0.11,0,IN
454,0.18,0.82,1,IN
455,0.96,0.04,0,IN
456,1.0,0.0,0,IN
457,1.0,0.0,0,IN
458,1.0,0.0,0,IN
459,0.98,0.02,0,IN
460,0.96,0.04,0,IN
461,0.01,0.99,1,IN
462,0.93,0.07,0,IN
463,1.0,0.0,0,IN
464,0.99,0.01,0,IN
465,1.0,0.0,0,IN
466,1.0,0.0,0,IN
467,0.96,0.04,0,IN
468,1.0,0.0,0,IN
469,0.35,0.65,1,IN
470,1.0,0.0,0,IN
471,1.0,0.0,0,IN
472,0.04,0.96,1,IN
473,0.06,0.94,1,IN
474,0.97,0.03,0,IN
475,0.95,0.05,0,IN
476,0.96,0.04,0,IN
477,0.82,0.18,0,IN
478,0.99,0.01,0,IN
479,0.96,0.04,0,IN
480,0.21,0.79,1,IN
481,1.0,0.0,0,IN
482,1.0,0.0,0,IN
483,1.0,0.0,0,IN
484,0.98,0.02,0,IN
485,1.0,0.0,0,IN
486,0.99,0.01,0,IN
487,0.22,0.78,1,IN
488,1.0,0.0,0,IN
489,0.95,0.05,0,IN
490,0.97,0.03,0,IN
491,0.04,0.96,1,IN
492,1.0,0.0,0,IN
493,0.99,0.01,0,IN
494,0.98,0.02,0,IN
495,1.0,0.0,0,IN
496,0.19,0.81,1,IN
497,1.0,0.0,0,IN
498,1.0,0.0,0,IN
499,0.07,0.93,1,IN
500,0.98,0.02,0,IN
501,0.95,0.05,0,IN
502,0.89,0.11,0,IN
503,0.03,0.97,1,IN
504,0.94,0.06,0,IN
505,0.06,0.94,1,IN
506,1.0,0.0,0,IN
507,0.99,0.01,0,IN
508,0.9,0.1,0,IN
509,0.99,0.01,0,IN
510,0.99,0.01,0,IN
511,0.29,0.71,1,IN
512,0.98,0.02,0,IN
513,0.08,0.92,1,IN
514,0.09,0.91,1,IN
515,0.14,0.86,1,IN
516,0.26,0.74,1,IN
517,0.71,0.29,0,IN
518,0.01,0.99,1,IN
519,0.95,0.05,0,IN
520,1.0,0.0,0,IN
521,0.94,0.06,0,IN
522,0.97,0.03,0,IN
523,0.29,0.71,1,IN
524,0.94,0.06,0,IN
525,0.99,0.01,0,IN
526,0.92,0.08,0,IN
527,0.98,0.02,0,IN
528,0.97,0.03,0,IN
529,1.0,0.0,0,IN
530,0.25,0.75,1,IN
531,1.0,0.0,0,IN
532,0.92,0.08,0,IN
533,0.92,0.08,0,IN
534,0.81,0.19,0,IN
535,0.98,0.02,0,IN
536,1.0,0.0,0,IN
537,0.96,0.04,0,IN
538,0.99,0.01,0,IN
539,1.0,0.0,0,IN
540,1.0,0.0,0,IN
541,0.93,0.07,0,IN
542,0.99,0.01,0,IN
543,0.98,0.02,0,IN
544,0.0,1.0,1,IN
545,0.94,0.06,0,IN
546,0.99,0.01,0,IN
547,0.99,0.01,0,IN
548,0.0,1.0,1,IN
549,1.0,0.0,0,IN
550,1.0,0.0,0,IN
551,0.99,0.01,0,IN
552,0.97,0.03,0,IN
553,0.87,0.13,0,IN
554,0.96,0.04,0,IN
555,0.03,0.97,1,IN
556,0.95,0.05,0,IN
557,0.95,0.05,0,IN
558,1.0,0.0,0,IN
559,0.94,0.06,0,IN
560,0.99,0.01,0,IN
561,1.0,0.0,0,IN
562,0.99,0.01,0,IN
563,1.0,0.0,0,IN
564,0.26,0.74,1,IN
565,1.0,0.0,0,IN
566,0.8,0.2,0,IN
567,0.07,0.93,1,IN
568,1.0,0.0,0,IN
569,0.99,0.01,0,IN
570,0.99,0.01,0,IN
571,0.8,0.2,0,IN
572,0.23,0.77,1,IN
573,0.67,0.33,0,IN
574,0.06,0.94,1,IN
575,1.0,0.0,0,IN
576,1.0,0.0,0,IN
577,0.83,0.17,0,IN
578,0.99,0.01,0,IN
579,1.0,0.0,0,IN
580,0.05,0.95,1,IN
581,1.0,0.0,0,IN
582,0.99,0.01,0,IN
583,1.0,0.0,0,IN
584,0.92,0.08,0,IN
585,0.96,0.04,0,IN
586,0.35,0.65,1,IN
587,0.08,0.92,1,IN
588,1.0,0.0,0,IN
589,0.94,0.06,0,IN
590,1.0,0.0,0,IN
591,0.76,0.24,0,IN
592,0.21,0.79,1,IN
593,0.99,0.01,0,IN
594,0.89,0.11,0,IN
595,0.19,0.81,1,IN
596,0.86,0.14,0,IN
597,0.99,0.01,0,IN
598,0.98,0.02,0,IN
599,0.1,0.9,1,IN
600,1.0,0.0,0,IN
601,0.99,0.01,0,IN
602,1.0,0.0,0,IN
603,0.98,0.02,0,IN
604,1.0,0.0,0,IN
605,1.0,0.0,0,IN
606,0.93,0.07,0,IN
607,1.0,0.0,0,IN
608,1.0,0.0,0,IN
609,0.16,0.84,1,IN
610,1.0,0.0,0,IN
611,1.0,0.0,0,IN
612,1.0,0.0,0,IN
613,1.0,0.0,0,IN
614,0.92,0.08,0,IN
615,1.0,0.0,0,IN
616,0.98,0.02,0,IN
617,1.0,0.0,0,IN
618,0.83,0.17,0,IN
619,0.16,0.84,1,IN
620,1.0,0.0,0,IN
621,1.0,0.0,0,IN
622,0.96,0.04,0,IN
623,1.0,0.0,0,IN
624,0.96,0.04,0,IN
625,1.0,0.0,0,IN
626,0.01,0.99,1,IN
627,1.0,0.0,0,IN
628,0.82,0.18,0,IN
629,0.98,0.02,0,IN
630,1.0,0.0,0,IN
631,0.34,0.66,1,IN
632,0.98,0.02,0,IN
633,1.0,0.0,0,IN
634,0.99,0.01,0,IN
635,0.91,0.09,0,IN
636,0.95,0.05,0,IN
637,0.83,0.17,0,IN
638,0.97,0.03,0,IN
639,1.0,0.0,0,IN
640,1.0,0.0,0,IN
641,1.0,0.0,0,IN
642,1.0,0.0,0,IN
643,0.0,1.0,1,IN
644,0.07,0.93,1,IN
645,1.0,0.0,0,IN
646,0.28,0.72,1,IN
647,1.0,0.0,0,IN
648,0.97,0.03,0,IN
649,0.96,0.04,0,IN
650,0.96,0.04,0,IN
651,0.03,0.97,1,IN
652,0.93,0.07,0,IN
653,1.0,0.0,0,IN
654,1.0,0.0,0,IN
655,1.0,0.0,0,IN
656,1.0,0.0,0,IN
657,0.99,0.01,0,IN
658,0.98,0.02,0,IN
659,0.96,0.04,0,IN
660,1.0,0.0,0,IN
661,0.01,0.99,1,IN
662,1.0,0.0,0,IN
663,0.02,0.98,1,IN
664,0.98,0.02,0,IN
665,0.98,0.02,0,IN
666,0.99,0.01,0,IN
667,0.92,0.08,0,IN
668,0.1,0.9,1,IN
669,0.98,0.02,0,IN
670,0.98,0.02,0,IN
671,0.92,0.08,0,IN
672,0.67,0.33,0,IN
673,1.0,0.0,0,IN
674,0.99,0.01,0,IN
675,0.21,0.79,1,IN
676,1.0,0.0,0,IN
677,1.0,0.0,0,IN
678,1.0,0.0,0,IN
679,0.24,0.76,1,IN
680,1.0,0.0,0,IN
681,0.29,0.71,1,IN
682,1.0,0.0,0,IN
683,1.0,0.0,0,IN
684,0.96,0.04,0,IN
685,0.03,0.97,1,IN
686,0.99,0.01,0,IN
687,0.99,0.01,0,IN
688,1.0,0.0,0,IN
689,0.95,0.05,0,IN
690,1.0,0.0,0,IN
691,1.0,0.0,0,IN
692,1.0,0.0,0,IN
693,1.0,0.0,0,IN
694,0.07,0.93,1,IN
695,0.97,0.03,0,IN
696,0.98,0.02,0,IN
697,0.92,0.08,0,IN
698,0.99,0.01,0,IN
699,0.97,0.03,0,IN
700,0.97,0.03,0,IN
701,1.0,0.0,0,IN
702,1.0,0.0,0,IN
703,1.0,0.0,0,IN
704,0.99,0.01,0,IN
705,0.07,0.93,1,IN
706,0.89,0.11,0,IN
707,0.72,0.28,0,IN
708,0.93,0.07,0,IN
709,0.89,0.11,0,IN
710,0.93,0.07,0,IN
711,0.11,0.89,1,IN
712,0.92,0.08,0,IN
713,0.98,0.02,0,IN
714,0.25,0.75,1,IN
715,1.0,0.0,0,IN
716,1.0,0.0,0,IN
717,1.0,0.0,0,IN
718,0.86,0.14,0,IN
719,0.36,0.64,1,IN
720,1.0,0.0,0,IN
721,0.06,0.94,1,IN
722,1.0,0.0,0,IN
723,1.0,0.0,0,IN
724,1.0,0.0,0,IN
725,0.84,0.16,0,IN
726,0.71,0.29,0,IN
727,0.97,0.03,0,IN
728,0.98,0.02,0,IN
729,0.03,0.97,1,IN
730,0.92,0.08,0,IN
731,0.86,0.14,0,IN
732,1.0,0.0,0,IN
733,1.0,0.0,0,IN
734,0.98,0.02,0,IN
735,0.8,0.2,0,IN
736,1.0,0.0,0,IN
737,1.0,0.0,0,IN
738,1.0,0.0,0,IN
739,0.99,0.01,0,IN
740,1.0,0.0,0,IN
741,1.0,0.0,0,IN
742,0.12,0.88,1,IN
743,0.99,0.01,0,IN
744,0.99,0.01,0,IN
745,1.0,0.0,0,IN
746,0.97,0.03,0,IN
747,1.0,0.0,0,IN
748,1.0,0.0,0,IN
749,0.92,0.08,0,IN
750,0.9,0.1,0,IN
751,0.86,0.14,0,IN
752,1.0,0.0,0,IN
753,0.91,0.09,0,IN
754,1.0,0.0,0,IN
755,1.0,0.0,0,IN
756,0.29,0.71,1,IN
757,1.0,0.0,0,IN
758,1.0,0.0,0,IN
759,0.07,0.93,1,IN
760,1.0,0.0,0,IN
761,0.01,0.99,1,IN
762,0.95,0.05,0,IN
763,1.0,0.0,0,IN
764,0.96,0.04,0,IN
765,0.04,0.96,1,IN
766,1.0,0.0,0,IN
767,1.0,0.0,0,IN
768,0.7,0.3,0,IN
769,0.98,0.02,0,IN
770,0.16,0.84,1,IN
771,0.03,0.97,1,IN
772,1.0,0.0,0,IN
773,0.02,0.98,1,IN
774,0.99,0.01,0,IN
775,0.98,0.02,0,IN
776,0.99,0.01,0,IN
777,0.81,0.19,0,IN
778,1.0,0.0,0,IN
779,0.98,0.02,0,IN
780,1.0,0.0,0,IN
781,1.0,0.0,0,IN
782,0.29,0.71,1,IN
783,0.97,0.03,0,IN
784,1.0,0.0,0,IN
785,0.99,0.01,0,IN
786,0.05,0.95,1,IN
787,0.16,0.84,1,IN
788,1.0,0.0,0,IN
789,0.35,0.65,1,IN
790,0.99,0.01,0,IN
791,1.0,0.0,0,IN
792,1.0,0.0,0,IN
793,0.94,0.06,0,IN
794,0.26,0.74,1,IN
795,0.89,0.11,0,IN
796,0.94,0.06,0,IN
797,0.19,0.81,1,IN
798,1.0,0.0,0,IN
799,0.29,0.71,1,IN
800,0.96,0.04,0,IN
801,0.96,0.04,0,IN
802,1.0,0.0,0,IN
803,0.98,0.02,0,IN
804,1.0,0.0,0,IN
805,0.93,0.07,0,IN
806,1.0,0.0,0,IN
807,0.92,0.08,0,IN
808,0.08,0.92,1,IN
809,1.0,0.0,0,IN
810,0.05,0.95,1,IN
811,1.0,0.0,0,IN
812,0.17,0.83,1,IN
813,0.99,0.01,0,IN
814,1.0,0.0,0,IN
815,0.91,0.09,0,IN
816,0.99,0.01,0,IN
817,1.0,0.0,0,IN
818,1.0,0.0,0,IN
819,0.98,0.02,0,IN
820,0.96,0.04,0,IN
821,0.04,0.96,1,IN
822,1.0,0.0,0,IN
823,1.0,0.0,0,IN
824,0.86,0.14,0,IN
825,0.99,0.01,0,IN
826,1.0,0.0,0,IN
827,0.95,0.05,0,IN
828,1.0,0.0,0,IN
829,0.99,0.01,0,IN
830,0.24,0.76,1,IN
831,0.82,0.18,0,IN
832,0.0,1.0,1,IN
833,0.19,0.81,1,IN
834,1.0,0.0,0,IN
835,1.0,0.0,0,IN
836,0.98,0.02,0,IN
837,1.0,0.0,0,IN
838,0.73,0.27,0,IN
839,0.01,0.99,1,IN
840,1.0,0.0,0,IN
841,0.97,0.03,0,IN
842,1.0,0.0,0,IN
843,0.1,0.9,1,IN
844,0.97,0.03,0,IN
845,0.96,0.04,0,IN
846,0.99,0.01,0,IN
847,0.97,0.03,0,IN
848,1.0,0.0,0,IN
849,0.92,0.08,0,IN
850,0.99,0.01,0,IN
851,1.0,0.0,0,IN
852,0.13,0.87,1,IN
853,0.93,0.07,0,IN
854,0.07,0.93,1,IN
855,0.84,0.16,0,IN
856,0.83,0.17,0,IN
857,0.94,0.06,0,IN
858,0.26,0.74,1,IN
859,0.07,0.93,1,IN
860,0.99,0.01,0,IN
861,1.0,0.0,0,IN
862,0.97,0.03,0,IN
863,1.0,0.0,0,IN
864,0.98,0.02,0,IN
865,0.94,0.06,0,IN
866,0.0,1.0,1,IN
867,0.04,0.96,1,IN
868,0.98,0.02,0,IN
869,0.03,0.97,1,IN
870,1.0,0.0,0,IN
871,0.93,0.07,0,IN
872,0.98,0.02,0,IN
873,0.98,0.02,0,IN
874,0.15,0.85,1,IN
875,1.0,0.0,0,IN
876,0.05,0.95,1,IN
877,0.99,0.01,0,IN
878,1.0,0.0,0,IN
879,0.03,0.97,1,IN
880,0.09,0.91,1,IN
881,0.05,0.95,1,IN
882,0.9,0.1,0,IN
883,1.0,0.0,0,IN
884,0.8,0.2,0,IN
885,0.01,0.99,1,IN
886,0.89,0.11,0,IN
887,0.94,0.06,0,IN
888,0.03,0.97,1,IN
889,0.98,0.02,0,IN
890,1.0,0.0,0,IN
891,0.12,0.88,1,IN
892,1.0,0.0,0,IN
893,1.0,0.0,0,IN
894,0.18,0.82,1,IN
895,0.33,0.67,1,IN
896,1.0,0.0,0,IN
897,0.98,0.02,0,IN
898,1.0,0.0,0,IN
899,0.98,0.02,0,IN
900,0.99,0.01,0,IN
901,0.21,0.79,1,IN
902,0.14,0.86,1,IN
903,0.81,0.19,0,IN
904,1.0,0.0,0,IN
905,0.98,0.02,0,IN
906,0.74,0.26,0,IN
907,0.03,0.97,1,IN
908,1.0,0.0,0,IN
909,1.0,0.0,0,IN
910,0.02,0.98,1,IN
911,0.01,0.99,1,IN
912,1.0,0.0,0,IN
913,0.21,0.79,1,IN
914,0.93,0.07,0,IN
915,0.03,0.97,1,IN
916,0.02,0.98,1,IN
917,0.93,0.07,0,IN
918,1.0,0.0,0,IN
919,1.0,0.0,0,IN
920,0.08,0.92,1,IN
921,0.05,0.95,1,IN
922,0.22,0.78,1,IN
923,0.88,0.12,0,IN
924,0.74,0.26,0,IN
925,0.9,0.1,0,IN
926,0.12,0.88,1,IN
927,1.0,0.0,0,IN
928,0.01,0.99,1,IN
929,0.03,0.97,1,IN
930,0.22,0.78,1,IN
